state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
South Carolina (EV: 9),28:06.7,Trump,Biden,1310201,954969,355232,214513,5047,5007,"5,007",0.40822848,0.59177152,2047,2263,1.340261039,0.01719116,0.59177152,{'Beaufort': 5047},2299689,20201104,1528,South Carolina,0.578411775,202011041528,SC
Minnesota (EV: 10),31:44.9,Biden,Trump,1682210,1453259,228951,164007,260,252,252,0.515873016,0.484126984,3764,4110,1.214569258,0.001155941,0.633591731,"{'Mower': 25, 'Washington': 235}",3200708,20201104,1531,Minnesota,0.463490151,202011041531,MN
South Dakota (EV: 3),31:44.9,Trump,Biden,244153,127210,116943,41158,1,1,1,1,0,653,693,1.958962399,4.79E-05,0.166666667,{'Union': 1},381617,20201104,1531,South Dakota,0.657451065,202011041531,SD
Maryland (EV: 10),32:47.2,Biden,Trump,1352222,743650,608572,903543,25705,24909,"24,909",0.486049219,0.513950781,1398,2019,0.845366118,0.009170066,0.513950781,{'Baltimore': 25705},2133487,20201104,1532,Maryland,0.354816516,202011041532,MD
Michigan (EV: 16),33:29.5,Biden,Trump,2517763,2508109,9654,428688,2034,2013,"2,013",0.498758073,0.501241927,4452,4974,0.511436272,4.81E-05,0.5386,{'Oakland': 2034},5110614,20201104,1533,Michigan,0.49903957,202011041533,MI
Connecticut (EV: 7),41:34.7,Biden,Trump,930578,636928,293650,232048,1536,1494,"1,494",0.383534137,0.616465863,633,753,1.142708964,0.003469665,0.567973164,"{'Litchfield': 12, 'New London': 1524}",1592269,20201104,1541,Connecticut,0.406332097,202011041541,CT
Massachusetts (EV: 11),41:34.7,Biden,Trump,1625403,753633,871770,1197729,15152,14824,"14,824",0.628305451,0.371694549,1450,2174,0.87233362,0.006255798,0.369562319,{'Middlesex': 15152},2433673,20201104,1541,Massachusetts,0.316780831,202011041541,MA
Maine (EV: 4),41:34.7,Biden,Trump,344467,267716,76751,187539,3740,3637,"3,637",0.517734396,0.482265604,314,552,0.710708422,0.004467121,0.532887701,"{'Knox': 915, 'York': 2825}",631922,20201104,1541,Maine,0.437313679,202011041541,ME
Pennsylvania (EV: 20),41:34.7,Trump,Biden,3018569,2475795,542774,1356910,82554,81733,"81,733",0.455788971,0.544211029,7097,9128,0.702550284,0.00907409,0.544211029,{'Bucks': 82554},5568345,20201104,1541,Pennsylvania,0.549393706,202011041541,PA
South Dakota (EV: 3),41:34.7,Trump,Biden,244153,127211,116942,41157,1,1,1,0,1,653,693,1.958985371,2.30E-05,0.285714286,{'Union': 1},381618,20201104,1541,South Dakota,0.657449295,202011041541,SD
